성취기준,수준,성취수준
[4수03-01],A,직선 선분 반직선의 예를 제시하고 그 차이를 설명할 수 있다.
[4수03-01],B,주어진 도형에서 직선 선분 반직선을 구별하고 그 차이를 말할 수 있다.
[4수03-01],C,주어진 도형에서 직선 선분 반직선을 구별할 수 있다.
[4수03-02],A,각 직각의 예를 제시하고 직각과 비교하여 예각과 둔각의 차이를 설명할 수 있다.
[4수03-02],B,주어진 도형에서 각과 직각을 찾고 여러 가지 각을 직각 예각 둔각으로 분류할 수 있다.
[4수03-02],C,주어진 도형에서 각을 찾고 직각이 있는 구체물을 이용하여 직각 예각 둔각을 찾을 수 있다.
[4수03-03],A,수직 관계인 두 직선이나 평행 관계인 두 직선을 그리고 그 성질을 설명할 수 있다.
[4수03-03],B,수직과 평행의 의미를 알고 주어진 그림에서 수직 관계 또는 평행 관계인 직선을 찾을 수 있다.
[4수03-03],C,안내된 절차에 따라 주어진 그림에서 한 직선에 수직 또는 평행인 직선을 찾을 수 있다.
[4수03-04],A,구체물이나 평면도형의 밀기 뒤집기 돌리기를 한 결과를 예상하고 위치나 방향의 변화를 설명할 수 있다.
[4수03-04],B,구체물이나 평면도형의 밀기 뒤집기 돌리기를 하고 위치나 방향의 변화를 말할 수 있다.
[4수03-04],C,간단한 구체물이나 평면도형의 밀기 뒤집기 돌리기를 하고 그 결과를 그림으로 나타낼 수 있다.
[4수03-05],A,평면에서 점을 이동하고 그 결과를 위치와 방향의 용어(위 아래 오른쪽 왼쪽 ~칸 ~cm 등)를 사용하여 여러 가지 방법으로 설명할 수 있다.
[4수03-05],B,평면에서 점의 이동을 위치와 방향의 용어(위 아래 오른쪽 왼쪽 ~칸 ~cm 등)를 사용하여 말할 수 있다.
[4수03-05],C,안내된 절차에 따라 주어진 점을 위치와 방향에 맞게 이동할 수 있다.
[4수03-06],A,원의 중심 반지름 지름에 대한 이해를 바탕으로 원의 여러 가지 성질을 찾아 설명할 수 있다.
[4수03-06],B,원의 중심 반지름 지름을 이해하고 이를 이용하여 원의 성질을 찾을 수 있다.
[4수03-06],C,주어진 원에서 원의 중심 반지름 지름을 찾을 수 있다.
[4수03-07],A,컴퍼스를 이용하여 여러 가지 크기의 원을 그리고 원의 중심 반지름 지름을 이용하여 그 방법을 설명할 수 있다.
[4수03-07],B,컴퍼스를 이용하여 주어진 원과 크기가 같은 원을 그릴 수 있다.
[4수03-07],C,컴퍼스를 이용하여 원을 그릴 수 있다.
[4수03-08],A,여러 가지 삼각형을 분류하는 활동을 통하여 이등변삼각형과 정삼각형을 구분하고 각각의 성질을 설명할 수 있다.
[4수03-08],B,주어진 삼각형에서 이등변삼각형과 정삼각형을 찾고 각각의 성질을 말할 수 있다.
[4수03-08],C,구체적 조작 활동을 통하여 주어진 삼각형에서 이등변삼각형과 정삼각형을 찾을 수 있다.
[4수03-09],A,여러 가지 삼각형을 분류하는 활동을 통하여 직각삼각형 예각삼각형 둔각삼각형을 구분하고 그 차이를 설명할 수 있다.
[4수03-09],B,주어진 삼각형을 직각삼각형 예각삼각형 둔각삼각형으로 구분할 수 있다.
[4수03-09],C,구체적 조작 활동을 통하여 주어진 삼각형에서 직각삼각형 예각삼각형 둔각삼각형을 찾을 수 있다.
[4수03-10],A,여러 가지 사각형을 분류하는 활동을 통하여 직사각형 정사각형 사다리꼴 평행사변형 마름모를 구분하고 각각의 성질을 설명할 수 있다.
[4수03-10],B,주어진 사각형에서 직사각형 정사각형 사다리꼴 평행사변형 마름모를 찾고 그 성질을 말할 수 있다.
[4수03-10],C,구체적 조작 활동을 통하여 주어진 사각형에서 직사각형 정사각형 사다리꼴 평행사변형 마름모를 찾을 수 있다.
[4수03-11],A,다각형과 정다각형의 여러 가지 예를 제시하고 각 도형의 공통점을 설명할 수 있다.
[4수03-11],B,주어진 도형에서 다각형과 정다각형을 찾고 그 의미를 말할 수 있다.
[4수03-11],C,주어진 도형에서 다각형과 정다각형을 찾을 수 있다.
[4수03-12],A,주어진 도형을 이용하여 여러 가지 모양을 만들거나 채우고 그 방법을 설명할 수 있다.
[4수03-12],B,주어진 도형을 이용하여 모양을 만들거나 채울 수 있다.
[4수03-12],C,안내된 절차에 따라 주어진 도형을 이용하여 일부가 제시된 모양의 전체를 완성할 수 있다.
[4수03-13],A,1분과 1초의 관계를 이용하여 여러 가지 시각을 초 단위까지 읽으며 시계에 나타낼 수 있다.
[4수03-13],B,1분이 60초임을 알고 여러 가지 시각을 초 단위까지 읽을 수 있다.
[4수03-13],C,1분이 60초임을 알고 안내된 절차에 따라 주어진 시각을 초 단위까지 읽을 수 있다.
[4수03-14],A,실생활 문제 상황을 초 단위까지 시간의 덧셈과 뺄셈으로 나타내어 계산하고 그 과정을 설명할 수 있다.
[4수03-14],B,실생활 문제 상황을 초 단위까지 시간의 덧셈과 뺄셈으로 나타내고 그 계산을 할 수 있다.
[4수03-14],C,안내된 절차에 따라 초 단위까지의 간단한 시간의 덧셈과 뺄셈을 할 수 있다.
[4수03-15],A,1mm와 1km를 이용하여 여러 가지 길이를 측정하거나 어림하고 실생활에서 이를 활용하는 예를 찾아 수학의 유용성을 설명할 수 있다.
[4수03-15],B,1mm와 1km를 이용하여 길이를 측정하거나 어림하고 실생활에서 이를 활용하는 예에서 수학의 유용성을 인식한다.
[4수03-15],C,안내된 절차에 따라 1mm와 1km를 이용하여 길이를 측정할 수 있다.
[4수03-16],A,길이를 여러 가지 방법으로 표현하고 1cm와 1mm 1km와 1m의 관계를 설명할 수 있다.
[4수03-16],B,주어진 길이를 '몇 cm 몇 mm'와 '몇 mm' '몇 km 몇 m'와 '몇 m'로 표현할 수 있다.
[4수03-16],C,안내된 절차에 따라 '몇 cm'를 '몇 mm'로 '몇 km'를 '몇 m'로 표현할 수 있다.
[4수03-17],A,1L와 1mL를 이용하여 여러 가지 들이를 측정하거나 어림하고 실생활에서 이를 활용하는 예를 찾아 수학의 유용성을 설명할 수 있다.
[4수03-17],B,1L와 1mL를 이용하여 들이를 측정하거나 어림하고 실생활에서 이를 활용하는 예에서 수학의 유용성을 인식한다.
[4수03-17],C,안내된 절차에 따라 1L와 1mL를 이용하여 간단한 들이를 측정할 수 있다.
[4수03-18],A,들이를 '몇 L 몇 mL' 또는 '몇 mL'로 표현하고 1L와 1mL의 관계를 설명할 수 있다.
[4수03-18],B,주어진 들이를 '몇 L 몇 mL'와 '몇 mL'로 표현할 수 있다.
[4수03-18],C,안내된 절차에 따라 '몇 L'를 '몇 mL'로 '몇 mL'를 '몇 L'로 표현할 수 있다.
[4수03-19],A,실생활 문제 상황을 들이의 덧셈과 뺄셈으로 나타내어 계산하고 그 과정을 설명할 수 있다.
[4수03-19],B,실생활 문제 상황을 들이의 덧셈과 뺄셈으로 나타내고 그 계산을 할 수 있다.
[4수03-19],C,안내된 절차에 따라 간단한 들이의 덧셈과 뺄셈을 할 수 있다.
[4수03-20],A,1g과 1kg을 이용하여 여러 가지 무게를 측정하거나 어림하고 실생활에서 1g과 1kg을 활용하는 예를 찾아 수학의 유용성을 설명할 수 있다.
[4수03-20],B,1g과 1kg을 이용하여 무게를 측정하거나 어림하고 실생활에서 이를 활용하는 예를 찾아 수학의 유용성을 인식한다.
[4수03-20],C,안내된 절차에 따라 1g과 1kg을 이용하여 간단한 무게를 측정할 수 있다.
[4수03-21],A,무게를 '몇 kg 몇 g' 또는 '몇 g'으로 표현하고 1kg과 1g의 관계를 설명할 수 있다.
[4수03-21],B,주어진 무게를 '몇 kg 몇 g'과 '몇 g'으로 표현할 수 있다.
[4수03-21],C,안내된 절차에 따라 '몇 kg'을 '몇 g'으로 '몇 g'을 '몇 kg'으로 표현할 수 있다.
[4수03-22],A,실생활에서 t를 활용하는 예를 찾고 1t과 1kg의 관계를 이용하여 다양한 무게를 표현할 수 있다.
[4수03-22],B,1t이 1000kg임을 이용하여 '몇 t'을 '몇 kg'으로 '몇 kg'을 '몇 t'으로 표현할 수 있다.
[4수03-22],C,안내된 절차에 따라 '몇 t'을 '몇 kg'으로 '몇 kg'을 '몇 t'으로 표현할 수 있다.
[4수03-23],A,실생활 문제 상황을 무게의 덧셈과 뺄셈으로 나타내어 계산하고 그 과정을 설명할 수 있다.
[4수03-23],B,실생활 문제 상황을 무게의 덧셈과 뺄셈으로 나타내고 그 계산을 할 수 있다.
[4수03-23],C,안내된 절차에 따라 간단한 무게의 덧셈과 뺄셈을 할 수 있다.
[4수03-24],A,각도기를 이용하여 여러 가지 각의 크기를 측정하거나 어림하고 그 방법을 설명할 수 있다.
[4수03-24],B,각의 크기의 단위인 1도(°)를 알고 각도기를 이용하여 주어진 각의 크기를 측정하거나 어림할 수 있다.
[4수03-24],C,안내된 절차에 따라 각도기를 이용하여 간단한 각의 크기를 측정할 수 있다.
[4수03-25],A,삼각형과 사각형의 내각의 크기의 합을 여러 가지 방법으로 추론하고 그 방법을 설명할 수 있다.
[4수03-25],B,구체물이나 그림을 이용하여 삼각형과 사각형의 내각의 크기의 합이 각각 180° 360°임을 설명할 수 있다.
[4수03-25],C,삼각형과 사각형의 내각의 크기의 합이 각각 180° 360°임을 말할 수 있다.
