성취기준,수준,성취수준
[4수01-01],A,실생활에서 큰 수의 필요성을 설명하고 10000 이상의 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내며 수를 읽고 쓸 수 있다.
[4수01-01],B,실생활에서 큰 수의 필요성을 알고 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 말하며 수를 읽고 쓸 수 있다.
[4수01-01],C,실생활에서 큰 수가 사용됨을 알고 수 카드 자릿값 카드 등을 이용하여 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 알고 수를 읽고 쓸 수 있다.
[4수01-02],A,수의 계열에 대한 이해를 바탕으로 다섯 자리 이상의 수를 여러 가지 방법으로 세며 수의 크기를 비교하고 그 방법을 설명할 수 있다.
[4수01-02],B,다섯 자리 이상의 수를 만 억 조씩 뛰어 세면서 수의 계열을 이해하고 수의 크기를 비교할 수 있다.
[4수01-02],C,안내된 절차에 따라 다섯 자리 이상의 수를 뛰어 세고 간단한 두 수의 크기를 비교할 수 있다.
[4수01-03],A,받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)를 계산하고 그 계산 원리를 설명할 수 있다.
[4수01-03],B,받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 계산 원리를 이해하고 그 계산을 할 수 있다.
[4수01-03],C,안내된 절차에 따라 받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 간단한 계산을 할 수 있다.
[4수01-04],A,(두 자리 수)×(한 자리 수) (세 자리 수)×(한 자리 수) (두 자리 수)×(두 자리 수) (세 자리 수)×(두 자리 수)를 계산하고 그 계산 원리를 설명할 수 있다.
[4수01-04],B,(두 자리 수)×(한 자리 수) (세 자리 수)×(한 자리 수) (두 자리 수)×(두 자리 수) (세 자리 수)×(두 자리 수)의 계산 원리를 이해하고 그 계산을 할 수 있다.
[4수01-04],C,안내된 절차에 따라 (두 자리 수)×(한 자리 수) (두 자리 수)×(두 자리 수)의 간단한 계산을 할 수 있다.
[4수01-05],A,나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 설명하고 한 가지 상황을 곱셈식과 나눗셈식으로 나타내어 곱셈과 나눗셈의 관계를 설명할 수 있다.
[4수01-05],B,나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 이해하고 이를 나눗셈식으로 나타내며 한 가지 상황을 곱셈식과 나눗셈식으로 나타낼 수 있다.
[4수01-05],C,안내된 절차에 따라 나눗셈이 이루어지는 실생활 상황을 나눗셈식으로 나타내고 곱셈식을 나눗셈식으로 나눗셈식을 곱셈식으로 나타낼 수 있다.
[4수01-06],A,나누는 수가 한 자리 수인 나눗셈을 계산하여 몫과 나머지를 구하고 나눗셈에서 몫과 나머지의 의미와 계산 원리를 설명할 수 있다.
[4수01-06],B,나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 하여 몫과 나머지를 구할 수 있다.
[4수01-06],C,안내된 절차에 따라 나누는 수가 한 자리 수인 나눗셈을 하여 몫과 나머지를 구할 수 있다.
[4수01-07],A,(두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)를 계산하고 그 계산 원리를 설명할 수 있다.
[4수01-07],B,(두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)의 계산 원리를 이해하고 그 계산을 할 수 있다.
[4수01-07],C,안내된 절차에 따라 (두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)의 간단한 계산을 할 수 있다.
[4수01-08],A,자연수의 덧셈 뺄셈 곱셈 나눗셈에서 계산 결과를 어림하며 어림셈을 이용하여 계산 결과가 타당한지를 확인하고 실생활 문제를 해결할 수 있다.
[4수01-08],B,자연수의 덧셈 뺄셈 곱셈 나눗셈에서 계산 결과를 어림하며 어림셈을 이용하여 계산 결과가 타당한지를 확인할 수 있다.
[4수01-08],C,안내된 절차에 따라 간단한 자연수의 덧셈 뺄셈 곱셈 나눗셈의 계산 결과를 어림할 수 있다.
[4수01-09],A,양의 등분할을 이용하여 분수의 필요성과 의미를 설명하고 분수를 읽고 쓸 수 있다.
[4수01-09],B,양의 등분할을 통하여 분수의 필요성과 의미를 알고 분수를 읽고 쓸 수 있다.
[4수01-09],C,안내된 절차에 따라 분모와 분자를 구별하여 분수를 읽고 쓸 수 있다.
[4수01-10],A,단위분수 진분수 가분수 대분수의 관계를 설명하고 가분수를 대분수로 대분수를 가분수로 나타낼 수 있다.
[4수01-10],B,단위분수 진분수 가분수 대분수를 알고 가분수를 대분수로 대분수를 가분수로 나타낼 수 있다.
[4수01-10],C,안내된 절차에 따라 단위분수 진분수 가분수 대분수를 구분하고 가분수를 대분수로 대분수를 가분수로 나타낼 수 있다.
[4수01-11],A,분모가 같은 분수끼리 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다.
[4수01-11],B,분모가 같은 분수끼리 단위분수끼리 크기를 비교할 수 있다.
[4수01-11],C,구체물이나 그림을 보고 분모가 같은 분수끼리 단위분수끼리 크기를 직관적으로 비교할 수 있다.
