explanation_id,standard_id,explanation_type,explanation_content
1,32,성취기준 해설,"덧셈은 세 자리 수의 범위에서 다루되, 합이 네 자리 수인 경우도 포함한다."
2,33,성취기준 해설,"곱셈은 '(두 자리 수)×(한 자리 수)', '(세 자리 수)×(한 자리 수)', '(두 자리 수)×(두 자리 수)', '(세 자리 수)×(두 자리 수)'를 다룬다."
3,35,성취기준 해설,"나눗셈에서 '(두 자리 수)÷(한 자리 수)'는 나누어떨어지는 경우와 나누어떨어지지 않는 경우를 포함하여 몫과 나머지를 이해하게 한다."
4,36,성취기준 해설,"나누는 수가 두 자리 수인 나눗셈에서는 '(두 자리 수)÷(두 자리 수)', '(세 자리 수)÷(두 자리 수)'를 다룬다."
5,38,성취기준 해설,"1보다 작은 양을 나타내는 경우를 통하여 분수의 필요성이나 그 표현의 편리함을 인식하게 할 수 있다. 양의 등분할을 통하여 분수를 도입할 때 부분과 전체를 파악하게 하고, '분모', '분자'를 사용한다."
6,47,성취기준 해설,"다양한 규칙을 찾을 수 있는 계산식의 배열, 수의 성질을 탐구할 수 있는 계산식의 배열을 다룬다."
7,48,성취기준 해설,"등호(=)의 의미를 토대로 구체물, 그림 등을 사용하여 주어진 식이 옳은지 판단하는 활동, 크기가 같은 두 양을 찾는 활동 등을 통해 동치 관계를 이해하게 한다."
8,52,성취기준 해설,"실생활에서 평면도형의 이동을 활용한 사례를 찾아서 이동에 따른 변화를 추론하고 위치나 방향이 어떻게 변화했는지 설명하게 한다."
9,53,성취기준 해설,"평면에서 점의 이동은 격자를 따라 위, 아래, 오른쪽, 왼쪽으로 '~칸', '~cm'를 이동하는 수준에서 다룬다. 한 점의 이동에 대해 위치와 방향을 설명하는 데 초점을 두고, 꼭짓점의 이동을 이용하여 평면도형의 이동을 설명하는 활동은 다루지 않는다."
10,55,성취기준 해설,"컴퍼스를 사용하여 다양한 크기의 원을 그리는 방법을 원의 성질과 연결하여 이해하게 한다."
11,59,성취기준 해설,"도형판, 모양 조각 등의 교구를 이용한 구체적인 조작 활동을 통해 다각형과 정다각형을 이해하게 한다."
12,60,성취기준 해설,"다양한 교구와 공학 도구 등을 이용한 구체적인 활동을 통해 주어진 도형으로 여러 가지 모양을 다양하게 만들거나 채울 수 있다."
