standard_id,standard_code,level_id,domain_id,element_id,standard_title,standard_content,standard_order
12,4수01-01,2,1,11,다섯 자리 이상의 수,"큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다.",1
13,4수01-02,2,1,11,다섯 자리 이상의 수,"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.",2
14,4수01-03,2,1,12,세 자리 수의 덧셈과 뺄셈,"세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",1
15,4수01-04,2,1,13,세 자리 수 범위의 곱셈,"곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",1
16,4수01-05,2,1,14,세 자리 수 범위의 나눗셈,"나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다.",1
17,4수01-06,2,1,14,세 자리 수 범위의 나눗셈,"나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다.",2
18,4수01-07,2,1,14,세 자리 수 범위의 나눗셈,"나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",3
19,4수01-08,2,1,15,자연수의 어림셈,"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다.",1
20,4수01-09,2,1,16,분수,"양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다.",1
21,4수01-10,2,1,16,분수,"단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다.",2
22,4수01-11,2,1,16,분수,"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다.",3
23,4수01-12,2,1,17,소수,"분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.",1
24,4수01-13,2,1,17,소수,"자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.",2
25,4수01-14,2,1,17,소수,"소수의 크기를 비교하고 그 방법을 설명할 수 있다.",3
26,4수01-15,2,1,18,분수의 덧셈과 뺄셈,"분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",1
27,4수01-16,2,1,19,소수의 덧셈과 뺄셈,"소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.",1
28,4수02-01,2,2,20,규칙을 수나 식으로 나타내기,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.",1
29,4수02-02,2,2,20,규칙을 수나 식으로 나타내기,"계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다.",2
30,4수02-03,2,2,21,등호와 동치 관계,"등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.",1
31,4수03-01,2,3,22,도형의 기초,"직선, 선분, 반직선을 이해하고 구별할 수 있다.",1
32,4수03-02,2,3,22,도형의 기초,"각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다.",2
33,4수03-03,2,3,22,도형의 기초,"직선의 수직 관계와 평행 관계를 이해한다.",3
34,4수03-04,2,3,23,평면도형의 이동,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다.",1
35,4수03-05,2,3,23,평면도형의 이동,"평면에서 점의 이동에 대해 위치와 방향을 이용하여 설명할 수 있다.",2
36,4수03-06,2,3,24,원의 구성 요소,"원의 중심, 반지름, 지름을 이해하고, 그 성질을 안다.",1
37,4수03-07,2,3,24,원의 구성 요소,"컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다.",2
38,4수03-24,2,3,31,각도,"각의 크기의 단위인 1도(°)를 알고, 각도기를 이용하여 각의 크기를 측정하고 어림할 수 있다.",1
39,4수03-25,2,3,31,각도,"여러 가지 방법으로 삼각형과 사각형의 내각의 크기의 합을 추론하고, 자신의 추론 과정을 설명할 수 있다.",2
40,4수04-01,2,4,32,자료의 수집과 정리,"자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.",1
41,4수04-02,2,4,32,자료의 수집과 정리,"자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.",2
42,4수04-03,2,4,32,자료의 수집과 정리,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",3
