explanation_id,standard_id,explanation_type,explanation_content
1,87,성취기준 해설,"분수의 나눗셈은 '(분수)÷(자연수)', '(자연수)÷(분수)', '(분수)÷(분수)'를 다룬다."
2,91,성취기준 해설,"소수의 나눗셈은 '(소수)÷(자연수)', '(자연수)÷(소수)', '(소수)÷(소수)'를 다룬다."
3,93,성취기준 해설,"두 양을 비교할 때는 한 양을 기준으로 다른 양이 몇 배가 되는지를 나타낼 필요성을 인식하면서 비의 개념을 이해하게 한다."
4,97,성취기준 해설,"합동인 두 도형에서 대응점, 대응변, 대응각을 각각 찾게 하고 대응변의 길이와 대응각의 크기를 비교하는 활동을 통해 합동인 도형의 성질을 탐구하고 설명하게 한다."
5,106,성취기준 해설,"여러 가지 물체, 건축물, 예술품, 쌓기나무로 만든 입체도형 등의 위, 앞, 옆에서 본 모양을 이용해서 전체 모양을 추측하게 하고, 이에 대해 자신의 추론 과정을 설명하게 한다."
6,111,성취기준 해설,"여러 가지 원에서 (원주)÷(지름)의 값을 구하여 모든 원에서 원주율이 일정함을 이해하게 하고, 원주율의 근삿값으로 3.14를 사용하게 한다."
7,112,성취기준 해설,"지름과 원주율을 이용하면 원주를 직접 측정하지 않고도 구할 수 있음을 알게 하고, 직사각형의 넓이를 구하는 방법을 이용하여 원의 넓이를 구하는 방법을 이해하게 한다."
8,116,성취기준 해설,"평균은 집단의 자료를 대표하는 값임을 이해하고, 여러 집단의 평균을 비교하는 활동을 통해 수학의 유용성을 인식하게 한다."
9,118,성취기준 해설,"해결하고자 하는 문제를 설정하고 그에 맞는 자료를 수집, 정리하여, 막대그래프, 꺾은선그래프, 띠그래프와 원그래프 중 적절한 그래프로 나타내고 해석하는 일련의 과정을 직접 경험하게 한다."
10,119,성취기준 해설,"'확실하다', '불가능하다', '~일 것 같다', '~아닐 것 같다', '반반이다' 등 일상에서 사건이 일어날 가능성을 나타내는 다양한 표현을 이해하고, 가능성의 크기를 비교하게 한다."
11,120,성취기준 해설,"가능성이 직관적으로 파악되는 생활 속의 간단한 사건에 대하여 그 가능성을 0, 1/2, 1 등과 같은 수로 표현하게 한다. 사건이 일어날 가능성과 일어나지 않을 가능성이 같은 경우에 사건이 일어날 가능성을 1/2로 표현할 수 있음을 이해하게 한다."
