term_id,level_id,domain_id,term_type,term_name,term_description
40,2,1,용어,나눗셈,한 수를 다른 수로 나누는 연산
41,2,1,용어,몫,나눗셈의 결과
42,2,1,용어,나머지,나눗셈에서 똑같이 나누고 남은 수
43,2,1,용어,나누어떨어진다,나머지 없이 똑같이 나누어지는 것
44,2,1,용어,분수,전체를 똑같이 나눈 것 중의 일부를 나타내는 수
45,2,1,용어,분모,분수에서 전체를 몇 개로 나누었는지를 나타내는 수
46,2,1,용어,분자,분수에서 나눈 것 중 몇 개인지를 나타내는 수
47,2,1,용어,단위분수,분자가 1인 분수
48,2,1,용어,진분수,분자가 분모보다 작은 분수
49,2,1,용어,가분수,분자가 분모와 같거나 분모보다 큰 분수
50,2,1,용어,대분수,자연수와 진분수로 이루어진 수
51,2,1,용어,자연수,1, 2, 3, ... 과 같이 개수를 셀 때 쓰는 수
52,2,1,용어,소수,1보다 작은 수를 나타내는 방법 중 하나
53,2,1,용어,소수점,소수에서 자연수 부분과 소수 부분을 구분하는 점
54,2,1,용어,소수 첫째 자리,소수점 오른쪽 첫 번째 자리
55,2,1,용어,소수 둘째 자리,소수점 오른쪽 두 번째 자리
56,2,1,용어,분수의 크기,분수가 나타내는 양의 크기
57,2,1,용어,곱,곱셈의 결과
58,2,1,용어,어림,대략적으로 계산하는 것
59,2,1,용어,어림수,실제 수에 가까운 대략적인 수
60,2,1,용어,어림셈,대략적으로 계산하는 것
61,2,1,기호,÷,나누기 기호
62,2,1,기호,분수 표현,분자/분모 형태로 나타내는 표현
63,2,1,기호,.,소수점
64,2,2,용어,배열,물건이나 수를 일정한 규칙에 따라 늘어놓은 것
65,2,2,용어,규칙,일정한 패턴이나 원칙
66,2,2,용어,식,수와 연산 기호를 사용하여 나타낸 것
67,2,2,기호,□,모르는 수를 나타내는 기호
68,2,2,기호,△,모르는 수를 나타내는 기호
69,2,3,용어,직선,양쪽으로 끝없이 곧게 뻗은 선
70,2,3,용어,선분,두 점을 곧게 이은 선
71,2,3,용어,반직선,한 점에서 한쪽으로 끝없이 곧게 뻗은 선
72,2,3,용어,각,한 점에서 그은 두 반직선으로 이루어진 도형
73,2,3,용어,꼭짓점,각에서 두 반직선이 만나는 점
74,2,3,용어,직각,90도인 각
75,2,3,용어,예각,0도보다 크고 90도보다 작은 각
76,2,3,용어,둔각,90도보다 크고 180도보다 작은 각
77,2,3,용어,수직,두 직선이 만나서 이루는 각이 직각인 것
78,2,3,용어,수선,한 직선에 수직인 직선
79,2,3,용어,평행,한 평면에서 만나지 않는 두 직선
80,2,3,용어,평행선,서로 평행인 직선들
81,2,3,용어,이등변삼각형,두 변의 길이가 같은 삼각형
82,2,3,용어,정삼각형,세 변의 길이가 모두 같은 삼각형
83,2,3,용어,직각삼각형,한 각이 직각인 삼각형
84,2,3,용어,예각삼각형,세 각이 모두 예각인 삼각형
85,2,3,용어,둔각삼각형,한 각이 둔각인 삼각형
86,2,3,용어,직사각형,네 각이 모두 직각인 사각형
87,2,3,용어,정사각형,네 변의 길이가 모두 같고 네 각이 모두 직각인 사각형
88,2,3,용어,원의 중심,원의 가운데 점
89,2,3,용어,반지름,원의 중심에서 원 위의 한 점까지의 거리
90,2,3,용어,지름,원의 중심을 지나며 원 위의 두 점을 잇는 선분
91,2,3,용어,다각형,여러 개의 선분으로 둘러싸인 도형
92,2,3,용어,정다각형,모든 변의 길이와 모든 각의 크기가 같은 다각형
93,2,3,용어,대각선,다각형에서 이웃하지 않은 두 꼭짓점을 이은 선분
94,2,3,용어,밀기,도형을 일정한 방향으로 일정한 거리만큼 이동시키는 것
95,2,3,용어,뒤집기,도형을 한 직선을 중심으로 대칭이동시키는 것
96,2,3,용어,돌리기,도형을 한 점을 중심으로 일정한 각도만큼 회전시키는 것
97,2,3,기호,°,도 (각도의 단위)
98,2,3,기호,mm,밀리미터 (길이의 단위)
99,2,3,기호,km,킬로미터 (길이의 단위)
100,2,3,기호,L,리터 (들이의 단위)
101,2,3,기호,mL,밀리리터 (들이의 단위)
102,2,3,기호,dL,데시리터 (들이의 단위)
103,2,3,기호,g,그램 (무게의 단위)
104,2,3,기호,kg,킬로그램 (무게의 단위)
105,2,3,기호,t,톤 (무게의 단위)
106,2,4,용어,그림그래프,그림을 사용하여 자료를 나타낸 그래프
107,2,4,용어,막대그래프,막대를 사용하여 자료를 나타낸 그래프
108,2,4,용어,꺾은선그래프,점을 선으로 이어 자료의 변화를 나타낸 그래프
109,2,4,용어,자료,조사하거나 측정하여 얻은 사실이나 정보
110,2,4,용어,표,자료를 행과 열로 정리한 것
