term_id,level_id,domain_id,term_type,term_name,term_description
1,1,1,용어,덧셈,두 수를 합하는 연산
2,1,1,용어,뺄셈,한 수에서 다른 수를 빼는 연산
3,1,1,용어,곱셈,같은 수를 여러 번 더하는 연산
4,1,1,용어,짝수,2로 나누어떨어지는 수
5,1,1,용어,홀수,2로 나누어떨어지지 않는 수
6,1,1,기호,+,덧셈 기호
7,1,1,기호,-,뺄셈 기호
8,1,1,기호,$\times$,곱셈 기호
9,1,1,기호,$=$,등호
10,1,1,기호,$>$,부등호(크다)
11,1,1,기호,$<$,부등호(작다)
12,1,2,용어,규칙,일정한 패턴이나 질서
13,1,3,용어,삼각형,세 개의 변으로 둘러싸인 도형
14,1,3,용어,사각형,네 개의 변으로 둘러싸인 도형
15,1,3,용어,원,한 점에서 같은 거리에 있는 점들의 집합
16,1,3,용어,꼭짓점,도형의 각진 부분
17,1,3,용어,변,도형의 가장자리를 이루는 선분
18,1,3,용어,시,시간의 단위
19,1,3,용어,분,시간의 단위(60분 = 1시간)
20,1,3,용어,약,대략적인 값을 나타낼 때 사용
21,1,3,기호,cm,센티미터(길이의 단위)
22,1,3,기호,m,미터(길이의 단위)
23,1,4,용어,표,자료를 정리한 형태
24,1,4,용어,그래프,자료를 시각적으로 나타낸 형태
