element_id,domain_id,level_id,category_id,element_name,element_description,element_order
138,1,3,1,자연수의 혼합 계산,사칙연산의 혼합 계산,1
139,1,3,1,수의 범위와 올림 버림 반올림,이상 이하 초과 미만과 올림 버림 반올림,2
140,1,3,1,약수와 배수,약수와 배수의 개념과 최대공약수 최소공배수,3
141,1,3,1,분수의 덧셈과 뺄셈,분모가 다른 분수의 덧셈과 뺄셈,4
142,1,3,1,분수의 곱셈과 나눗셈,분수의 곱셈과 나눗셈,5
143,1,3,1,분수와 소수의 관계,분수와 소수의 관계,6
144,1,3,1,소수의 곱셈과 나눗셈,소수의 곱셈과 나눗셈,7
145,2,3,1,대응 관계,한 양이 변할 때 다른 양이 종속하여 변하는 관계,1
146,2,3,1,비와 비율,두 양의 크기 비교와 비율,2
147,2,3,1,비례식과 비례배분,비례식과 비례배분,3
148,3,3,1,합동과 대칭,도형의 합동과 선대칭 점대칭,1
149,3,3,1,직육면체와 정육면체,직육면체와 정육면체의 구성 요소와 성질,2
150,3,3,1,각기둥과 각뿔,각기둥과 각뿔의 구성 요소와 성질,3
151,3,3,1,원기둥 원뿔 구,원기둥 원뿔 구의 구성 요소와 성질,4
152,3,3,1,입체도형의 공간 감각,쌓기나무로 만든 입체도형의 공간 감각,5
153,3,3,1,다각형의 둘레와 넓이,평면도형의 둘레와 넓이,6
154,3,3,1,원주율과 원의 넓이,원주율과 원의 둘레 및 넓이,7
155,3,3,1,입체도형의 겉넓이와 부피,직육면체와 정육면체의 겉넓이와 부피,8
156,4,3,1,자료의 수집과 정리,평균과 띠그래프 원그래프,1
157,4,3,1,가능성,사건이 일어날 가능성,2
158,1,3,2,수와 연산 탐구,자연수 분수 소수 등 수 관련 개념과 원리를 탐구하기,1
159,1,3,2,수를 세고 읽고 쓰기,수를 세고 읽고 쓰기,2
160,1,3,2,수의 크기 비교,자연수 분수 소수의 크기를 비교하고 그 방법을 설명하기,3
161,1,3,2,사칙계산 원리 탐구,사칙계산의 의미와 계산 원리를 탐구하고 계산하기,4
162,1,3,2,수 감각과 연산 감각,수 감각과 연산 감각 기르기,5
163,1,3,2,연산과 분수 소수 관계,연산 사이의 관계 분수와 소수의 관계를 탐구하기,6
164,1,3,2,어림값과 실생활,수의 범위와 올림 버림 반올림한 어림값을 실생활과 연결하기,7
165,1,3,2,최대공약수와 최소공배수,최대공약수와 최소공배수 구하기,8
166,1,3,2,실생활과 타교과 연결,자연수 분수 소수 사칙계산을 실생활 및 타 교과와 연결하여 문제해결하기,9
167,2,3,2,규칙 탐구와 표현,물체 무늬 수 계산식의 배열에서 규칙을 탐구하기,1
168,2,3,2,규칙의 다양한 표현,규칙을 찾아 여러 가지 방법으로 표현하기,2
169,2,3,2,두 양의 관계,두 양의 관계를 탐구하고 등호를 사용하여 나타내기,3
170,2,3,2,대응 관계와 식,대응 관계를 탐구하고 □ △ 등을 사용하여 식으로 나타내고 설명하기,4
171,2,3,2,비와 비율,두 양의 관계를 비나 비율로 나타내기,5
172,2,3,2,비율의 다양한 표현,비율을 분수 소수 백분율로 나타내기,6
173,2,3,2,실생활과 타교과 연결,비율을 실생활 및 타 교과와 연결하여 문제해결하기,7
174,2,3,2,비례식과 비례배분,비례식을 풀고 주어진 양을 비례배분하기,8
175,3,3,2,여러 가지 사물과 도형 분류,여러 가지 사물과 도형을 기준에 따라 분류하기,1
176,3,3,2,도형의 개념과 구성 요소,도형의 개념 구성 요소 성질 탐구하고 설명하기,2
177,3,3,2,도형 그리기와 만들기,평면도형이나 입체도형 그리기와 만들기,3
178,3,3,2,도형의 이동,평면도형을 밀기 뒤집기 돌리기 한 모양을 추측하고 그리기,4
179,3,3,2,입체도형 만들기,쌓은 모양 추측하고 쌓기나무의 개수 구하기,5
180,3,3,2,공간 감각,공간 감각 기르기,6
181,3,3,2,양의 비교와 측정,여러 가지 양을 비교 측정 어림하는 방법 탐구하기,7
